ox,oy
0.30268112,0.61573005
0.42274750000000005,0.34145970000000003
0.8828225000000001,0.42598894
0.5278784000000001,0.36336690000000005
0.25930595,0.6471683000000001
0.72957766,0.67341125
0.6279216,0.41821826
0.43422073,0.7075593000000001
0.6020919,0.34866667
0.71620804,0.18640503
0.24501894,0.5820908
0.5270971,0.15931879999999998
0.43824065,0.3246995
0.9790834,0.12106272
0.5678763000000001,0.84934074
0.34542280000000003,0.8174818
0.29505974,0.22247085
0.17287731,0.61303073
0.6407265999999999,0.57287806
0.660485,0.70466363
0.91161,0.49614635
0.4993544,0.67878485
0.51945835,0.78664815
0.9531332,0.57585675
0.5686654000000001,0.72700346
0.7490508,0.59172016
0.252102,0.662378
0.6796893,0.33331170000000004
0.24986489,0.25974274
0.39934203,0.9544942
0.8943257,0.65717524
0.2267986,0.66496825
0.5364706,0.43339673
0.5432062,0.6355548000000001
0.35032579999999997,0.28207102
0.8059079,0.52767605
0.49637845,0.4514527
0.30656177,0.54247385
0.67054397,0.28874415
0.49503544,0.6490685
0.46399203,0.76819456
0.61866003,0.16151686
0.9741513,0.13445815
0.7229257,0.22368157
0.9090761999999999,0.5737893000000001
0.08614626,0.5904057
0.7160145,0.43002399999999996
0.781179,0.29237112
0.8194103000000001,0.58729947
0.53244895,0.35436884
0.9860871999999999,0.115280114
0.36814427,0.36403507
0.43638012,0.29853620000000003
0.80444664,0.37948793
0.8603033999999999,0.52786976
0.5919398,0.81121475
0.5842056999999999,0.36037114
0.5502526999999999,0.5059551
0.52809,0.34345448
0.5777585999999999,0.41414094
0.38422903,0.21049012
0.7292390000000001,0.43285340000000005
0.5305705,0.7105798000000001
0.17724858,0.61136734
0.23084414,0.29557648
0.27344054,0.13522342
0.29644793,0.1255192
0.44954717,0.15242909
0.40138593,0.41842209999999996
0.5087082,0.45899579999999995
0.77157956,0.6201051
0.40934187,0.16943344
0.5853764,0.28619978
0.72143596,0.58605653
0.74254835,0.32571540000000004
0.5805498,0.33546188
0.42002442,0.5257271
0.8664324000000001,0.37751746
0.17750839999999998,0.215257
0.362649,0.16687134
0.28623059999999995,0.7282434
0.5176681,0.5494986
0.40046924,0.9710502000000001
0.7521503,0.28426373
0.37795424,0.87030053
0.16651097,0.30736825
0.9147489,0.46362135
0.7277650999999999,0.6683001000000001
0.5832526,0.39780447
0.7864483,0.39869714
0.36718062,0.9932572000000001
0.34636095,0.6964577
0.25613102,0.71482944
0.28403473,0.30231729999999996
0.91204286,0.47416818
0.25770715,0.52583617
0.41927296,0.45763009999999993
0.38770488,0.23043066
0.6712479,0.38557023
0.27699947,0.45224430000000004
0.9131639000000001,0.3368407
0.7312215,0.59389484
0.5255038000000001,0.5828055999999999
0.5780291,0.26575312
0.4380049,0.29316542
0.46598649999999997,0.48444217
0.3113242,0.6550651999999999
0.45108432,0.8258549000000001
0.9408185,0.5960571
0.43835740000000006,0.45456192
0.54810244,0.6918424
0.89032257,0.5821295999999999
0.8544139999999999,0.64570063
0.39348084,0.9666642
0.5392524000000001,0.20431732
0.51656616,0.75918376
0.43037328,0.3265473
0.36978920000000004,0.923059
0.5069505999999999,0.7274567
0.22399627,0.48998085
0.21344455,0.6569102
0.8806067,0.4476313
0.47342473,0.55528855
0.9749175999999999,0.13388996
0.7022654,0.20977543
0.21727115,0.119348034
0.8032054,0.6414181999999999
